Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BOND,"SPDR S&P/ASX Australian Bond Fund (ASX:BOND)",https://www.listcorp.com/asx/bond/spdr-s-and-p-asx-australian-bond-fund,"	44479800",26.03,0.04,0.15,Unclassified
ASX:TM1,"Terra Metals Limited (ASX:TM1)",https://www.listcorp.com/asx/tm1/terra-metals-limited,"	44471300",0.084,0.00,0,Materials
ASX:LSGE,"Loomis Sayles Global Equity Fund (ASX:LSGE)",https://www.listcorp.com/asx/lsge/loomis-sayles-global-equity-fund,"	44464000",2.45,0.00,0,Unclassified
ASX:ICE,"iCetana Limited (ASX:ICE)",https://www.listcorp.com/asx/ice/icetana-limited,"	44141600",0.083,0.00,0,"Information Technology"
ASX:WR1,"Winsome Resources Limited (ASX:WR1)",https://www.listcorp.com/asx/wr1/winsome-resources-limited,"	43914300",0.185,0.01,2.78,Materials
ASX:TNC,"True North Copper Limited (ASX:TNC)",https://www.listcorp.com/asx/tnc/true-north-copper-limited,"	43310100",0.35,0.01,2.94,Materials
ASX:MYE,"Mastermyne Group Limited (ASX:MYE)",https://www.listcorp.com/asx/mye/mastermyne-group-limited,"	43210700",0.15,0.01,7.14,Materials
ASX:AZL,"Arizona Lithium Limited (ASX:AZL)",https://www.listcorp.com/asx/azl/arizona-lithium-limited,"	43042500",0.008,0.00,0,Materials
ASX:NOU,"Noumi Limited (ASX:NOU)",https://www.listcorp.com/asx/nou/noumi-limited,"	42951900",0.155,0.00,0,"Consumer Staples"
ASX:PXX,"PolarX Limited (ASX:PXX)",https://www.listcorp.com/asx/pxx/polarx-limited,"	42759000",0.018,0.00,0,Materials
ASX:OVT,"Ovanti Limited (ASX:OVT)",https://www.listcorp.com/asx/ovt/ovanti-limited,"	42719000",0.01,0.00,11.11,"Communication Services"
ASX:S2R,"S2 Resources Ltd (ASX:S2R)",https://www.listcorp.com/asx/s2r/s2-resources-ltd,"	42624900",0.085,0.00,0,Materials
ASX:CLDD,"BetaShares Cloud Computing ETF (ASX:CLDD)",https://www.listcorp.com/asx/cldd/betashares-cloud-computing-etf,"	42444000",13.33,-0.03,-0.22,Unclassified
ASX:NXS,"Next Science Limited (ASX:NXS)",https://www.listcorp.com/asx/nxs/next-science-limited,"	42430700",0.145,0.00,0,"Health Care"
ASX:SNT,"Syntara Limited (ASX:SNT)",https://www.listcorp.com/asx/snt/syntara-limited,"	42318600",0.026,0.00,0,"Health Care"
ASX:XF1,"Xref Limited (ASX:XF1)",https://www.listcorp.com/asx/xf1/xref-limited,"	41817100",0.19,0.00,0,"Information Technology"
ASX:G50,"G50 Corp Limited (ASX:G50)",https://www.listcorp.com/asx/g50/g50-corp-limited,"	41755400",0.26,0.00,0,Materials
ASX:YRL,"Yandal Resources Limited (ASX:YRL)",https://www.listcorp.com/asx/yrl/yandal-resources-limited,"	41746700",0.145,0.01,7.41,Materials
ASX:GBE,"Globe Metals & Mining Limited (ASX:GBE)",https://www.listcorp.com/asx/gbe/globe-metals-and-mining-limited,"	41679200",0.06,0.00,0,Materials
ASX:BWE,"BWE Drilling Limited (ASX:BWE)",https://www.listcorp.com/asx/bwe/bwe-drilling-limited,"	41516900",0.29,0.00,0,Industrials
ASX:LEL,"Lithium Energy Limited (ASX:LEL)",https://www.listcorp.com/asx/lel/lithium-energy-limited,"	41440600",0.37,0.00,0,Materials
